"filename", "language", "Shell Script", "Python", "Markdown", "Docker", "pip requirements", "YAML", "MS SQL", "JavaScript", "HTML", "Properties", "PostCSS", "JSON", "toml", "comment", "blank", "total"
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/setup.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 5, 24
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/binance_prices.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/chainlink_prices.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/comments.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/events.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 2, 7, 52
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/markets.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 10, 8, 80
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/order_book_snapshots.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 4, 17
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/order_book_trades.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/order_book_updates.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 4, 19
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/series.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/tag_list.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/tags.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
