Date : 2026-04-14 21:36:38
Directory : /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src
Total : 143 files,  17685 codes, 659 comments, 2865 blanks, all 21209 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/api/routes/chainlink.py                                        | Python           |        138 |          1 |         26 |        165 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/api/routes/health.py                                           | Python           |         27 |          1 |         10 |         38 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/api/routes/markets.py                                          | Python           |        209 |          2 |         48 |        259 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/api/tests/__init__.py                                          | Python           |          0 |          0 |          1 |          1 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/api/tests/conftest.py                                          | Python           |         15 |          1 |          8 |         24 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/api/tests/test_chainlink_fetcher.py                            | Python           |        162 |          0 |         38 |        200 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/api/tests/test_db_client.py                                    | Python           |        144 |          0 |         42 |        186 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/api/tests/test_market_chart_fetcher.py                         | Python           |        165 |          0 |         26 |        191 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/api/tests/test_market_routes.py                                | Python           |        284 |          0 |         42 |        326 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/api/tests/test_routes.py                                       | Python           |        369 |          0 |         74 |        443 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/Dockerfile                                            | Docker           |          3 |          0 |          2 |          5 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/data_initialization/Dockerfile                        | Docker           |          8 |          2 |          6 |         16 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/data_initialization/data_initialization_testing.ipynb | JSON             |        215 |          0 |          1 |        216 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/data_initialization/main.py                           | Python           |        769 |         43 |        115 |        927 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/data_initialization/requirements.txt                  | pip requirements |          3 |          0 |          1 |          4 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/docker-compose.yaml                                   | YAML             |         58 |          0 |          4 |         62 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/init/load_schema.sql                                  | MS SQL           |          2 |          0 |          1 |          3 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/init/setup_cdc.sql                                    | MS SQL           |         22 |          3 |          4 |         29 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/setup.sql                                      | MS SQL           |         14 |          5 |          5 |         24 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/binance_prices.sql                      | MS SQL           |         14 |          0 |          2 |         16 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/chainlink_prices.sql                    | MS SQL           |         14 |          0 |          2 |         16 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/comments.sql                            | MS SQL           |          7 |          0 |          3 |         10 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/events.sql                              | MS SQL           |         43 |          2 |          7 |         52 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/markets.sql                             | MS SQL           |         62 |         10 |          8 |         80 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/order_book_snapshots.sql                | MS SQL           |         11 |          2 |          4 |         17 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/order_book_trades.sql                   | MS SQL           |         13 |          0 |          2 |         15 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/order_book_updates.sql                  | MS SQL           |         13 |          2 |          4 |         19 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/series.sql                              | MS SQL           |         15 |          0 |          3 |         18 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/tag_list.sql                            | MS SQL           |          5 |          0 |          0 |          5 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/tags.sql                                | MS SQL           |          8 |          0 |          1 |          9 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/tokens.sql                              | MS SQL           |          6 |          0 |          1 |          7 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/trades.sql                              | MS SQL           |         13 |          0 |          1 |         14 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/database/schema/tables/users.sql                               | MS SQL           |          8 |          0 |          1 |          9 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/dbz_init.sh                                                    | Shell Script     |         68 |          2 |          9 |         79 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/inflow_gateway/Dockerfile                                      | Docker           |          7 |          0 |          7 |         14 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/inflow_gateway/docker-compose.yaml                             | YAML             |         28 |          0 |          4 |         32 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/inflow_gateway/pyproject.toml                                  | toml             |         17 |          0 |          3 |         20 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/inflow_gateway/requirements.txt                                | pip requirements |         14 |          0 |          1 |         15 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/inflow_gateway/stream.py                                       | Python           |        461 |         31 |        107 |        599 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/inflow_gateway/tests/test_stream.py                            | Python           |        725 |          0 |        193 |        918 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/shared/__init__.py                                             | Python           |          8 |          5 |          7 |         20 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/shared/subscriber.py                                           | Python           |         76 |          2 |         12 |         90 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/transform_layer/Dockerfile                                     | Docker           |         10 |          2 |          7 |         19 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/transform_layer/config.py                                      | Python           |         76 |          1 |         19 |         96 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/transform_layer/docker-compose.yaml                            | YAML             |        136 |          8 |          8 |        152 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/transform_layer/kafka_bridge.py                                | Python           |        133 |          1 |         26 |        160 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/transform_layer/requirements.txt                               | pip requirements |          3 |          0 |          1 |          4 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/transform_layer/template.sql                                   | MS SQL           |      1,782 |          2 |        100 |      1,884 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/transform_layer/tests/conftest.py                              | Python           |          5 |          0 |          3 |          8 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/transform_layer/tests/test_transform_writer.py                 | Python           |         63 |          0 |         22 |         85 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/data_service/transform_layer/transform_writer.py                            | Python           |        470 |          5 |         62 |        537 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/Dockerfile                                               | Docker           |         10 |          0 |          8 |         18 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/admin.test.js                                  | JavaScript       |        300 |         24 |         78 |        402 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/auth.test.js                                   | JavaScript       |        199 |         11 |         45 |        255 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/authController.test.js                         | JavaScript       |         60 |          0 |         11 |         71 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/billing.test.js                                | JavaScript       |         92 |          7 |         23 |        122 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/legacyAnalytics.test.js                        | JavaScript       |         45 |          0 |         10 |         55 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/markets.test.js                                | JavaScript       |        181 |          0 |         35 |        216 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/marketsService.test.js                         | JavaScript       |        173 |          0 |         12 |        185 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/user.test.js                                   | JavaScript       |        416 |         30 |         91 |        537 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/wallet.test.js                                 | JavaScript       |         68 |          7 |         18 |         93 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/app.js                                                   | JavaScript       |         85 |         14 |         21 |        120 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/config/env.js                                            | JavaScript       |         50 |          0 |         10 |         60 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/config/swagger.js                                        | JavaScript       |         46 |          0 |          3 |         49 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/config/upstream.js                                       | JavaScript       |         28 |          0 |          4 |         32 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/controllers/adminController.js                           | JavaScript       |        534 |          0 |         96 |        630 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/controllers/analyticsController.js                       | JavaScript       |        216 |          0 |         49 |        265 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/controllers/authController.js                            | JavaScript       |        247 |          9 |         48 |        304 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/controllers/billingController.js                         | JavaScript       |         74 |          6 |         16 |         96 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/controllers/marketsController.js                         | JavaScript       |         75 |          1 |         20 |         96 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/controllers/userController.js                            | JavaScript       |        506 |          4 |         94 |        604 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/controllers/walletController.js                          | JavaScript       |         54 |          5 |         12 |         71 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/db.js                                                    | JavaScript       |         14 |          0 |          3 |         17 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/db/00_extensions.sql                                     | MS SQL           |          2 |          1 |          1 |          4 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/db/01_users.sql                                          | MS SQL           |         51 |          5 |          8 |         64 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/db/02_activity.sql                                       | MS SQL           |         20 |          2 |          5 |         27 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/db/03_subscriptions.sql                                  | MS SQL           |         28 |          2 |          6 |         36 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/db/04_admin.sql                                          | MS SQL           |         18 |          1 |          4 |         23 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/db/05_events.sql                                         | MS SQL           |         14 |          1 |          3 |         18 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/db/06_metrics.sql                                        | MS SQL           |          9 |          1 |          1 |         11 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/db/07_roles.sql                                          | MS SQL           |         11 |          2 |          3 |         16 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/db/08_firebase_auth.sql                                  | MS SQL           |          5 |          0 |          3 |          8 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/db/init.js                                               | JavaScript       |         32 |          4 |          5 |         41 |
